head_id,relation_id,tail_id
1833472,35,364347
237376,41,2113109
4167,55,1684
272503,6,65413
32522,35,137533
127918,13,1272292
469628,6,320257
1514579,88,156461
2164439,106,356617
1995171,13,1405442
16421,40,1571738
1773711,62,979
554916,13,554104
1716598,63,1716938
1852502,13,1852513
1353879,88,156455
374366,13,409565
1913609,7,283016
1830180,62,1553
1950922,13,134481
601186,88,60724
313975,88,1435
1916662,7,828578
1254289,40,122253
17540,16,137281
2007276,13,2003201
376669,13,371237
625680,109,314897
1906208,13,1906611
15719,41,2085348
458729,13,368693
620416,170,102616
121688,109,393568
2065789,7,2065449
50211,20,665692
26355,26,1283282
377052,13,369823
169848,109,11224
23271,13,370785
1914101,7,1743214
2768,35,2766
2035541,63,2035984
9569,7,555636
1834178,40,1019295
7751,40,1807100
834835,62,9941
12508,7,896854
1706,6,1737
1240778,13,1240781
377459,13,370009
1765874,7,1764570
122077,35,146252
1832341,109,1866518
1842028,13,1817496
448495,88,123057
1914742,7,1764869
389629,54,7976
1658460,63,834255
1887331,62,102258
94760,40,2004427
232918,170,102616
68646,48,707109
166237,109,314897
259,55,27429
2035613,63,2036096
2119712,62,53200
1923190,63,1587589
281793,62,53075
1278470,63,1278919
4656,6,1158456
839037,62,11801
164768,62,9842
1532695,6,383184
374914,13,361124
394728,65,7555
17540,16,137113
1366597,13,498891
75727,48,942896
321087,6,6115
275640,13,532053
6597,40,1947589
9250,6,6845
834362,63,1656750
1267369,35,994601
87808,35,1532983
89228,40,921488
8456,42,178962
1512821,7,1747197
6164,42,285154
87665,6,723703
2106162,13,2106166
12815,55,1259378
376676,13,370119
119372,88,87835
838336,62,2349
282440,26,1283294
9198,88,8658
100675,55,10073
51125,20,665799
373935,13,366127
393679,54,160347
80835,170,102616
1913885,7,1269678
9836,170,1869248
873588,62,2144
1497186,13,405400
11120,42,1984229
536046,7,536047
245905,40,1767888
1897768,7,260634
2094711,13,2076328
246340,40,1407731
8456,42,72918
376458,13,134296
2174930,13,2165823
321208,6,7506
376576,13,498434
1934501,7,1934262
789106,13,484319
60566,65,47594
187289,88,156571
1276507,13,741738
1888010,40,1006046
90511,40,1318122
2093027,62,7776
38589,6,4375
203172,88,1643435
1912727,7,1270135
375178,13,500618
13330,42,72264
2094252,7,2094251
1657611,63,1886651
358745,109,314897
1254837,88,314900
530459,42,73593
8582,26,1365711
47205,13,1433559
49019,21,2804
16692,106,140363
15793,42,75654
2081701,13,2081313
378535,13,502092
363115,35,2806
2065758,7,2065341
359087,35,104
95401,40,1075281
504100,13,362979
47853,13,501050
1448672,88,706916
1912981,7,1270209
1887524,63,1887556
2176958,13,2176964
395860,65,52548
394274,65,2394
5232,35,1828329
241708,20,1514765
2010054,7,2010053
1658788,63,836419
1665934,13,1639674
322035,6,320484
7080,35,889834
831197,63,1400250
8394,170,381895
187487,41,1865222
23881,13,498261
6362,48,1379902
15709,6,17828
37093,13,1401457
17689,65,17458
3547,65,52548
1400447,63,1399852
1887948,40,2058638
15772,42,77363
489861,54,14978
1400227,62,7540
43929,13,366331
848747,16,872148
281963,62,110381
2151508,63,2151918
9827,41,1955688
16880,40,187015
2007273,13,2007184
404647,20,1286549
811511,7,809104
1815603,13,2034896
1815730,13,560124
1530631,13,1515926
1282864,13,1476245
121315,109,393568
1887352,63,1887151
1814506,7,1104257
32478,35,137533
60302,88,2477
852,26,2044176
93999,6,53490
12575,65,119
375273,13,368888
44824,21,1189
3542,13,504821
836883,62,6244
6661,6,13593
16398,48,908300
603594,88,155980
116844,109,1512379
94892,40,1099896
121975,106,146399
56457,88,2584
554936,13,554167
397426,65,4511
600872,109,393568
1289,45,2354
1916129,7,487277
102542,35,931244
373470,13,371485
3324,13,485022
61820,7,1881674
223799,88,1365832
397863,54,7555
9183,41,987347
2035165,13,2034860
121319,106,143716
229652,35,15505
871284,13,457126
6617,40,1451557
1588346,63,1587802
1912747,7,1270133
1251674,7,810493
2045035,7,809524
293790,88,87835
2121030,13,2026212
748781,7,747210
829017,62,165922
1934551,7,1934231
91731,40,902297
11114,40,282716
2051537,13,502435
372645,13,500538
111904,62,5271
46164,7,1943789
1743309,40,2134463
1765866,7,810380
15112,13,666642
1913207,7,283002
2134795,45,852
17574,41,2057969
47899,6,17473
2678,16,1358872
484276,13,368510
14744,7,180574
2039131,88,156243
538905,40,1676972
1530321,13,1530326
9741,65,609
52887,42,180907
1658341,63,836393
38726,13,503569
830094,63,1238113
835312,62,548
32468,35,137533
373598,13,1420879
1915408,7,827948
377869,13,457948
33686,16,850589
275493,6,1377
282177,42,178654
815203,13,850510
247221,42,73850
469587,6,15693
1599640,7,1460253
628167,88,11209
112134,109,314897
1658749,63,834969
2142467,13,2142445
1949629,63,1950288
9569,7,1497928
790016,13,370623
2321,42,83194
1253159,13,1619477
374738,13,459186
248420,88,5387
395854,65,52548
1923192,63,1923472
1682363,13,1509932
8532,6,778676
2040709,88,155949
1777120,13,1777123
2082283,88,307298
34796,13,666042
1834697,106,1834215
554986,13,554262
120107,35,13384
15342,42,907457
1915671,7,526752
17292,13,362028
1618560,7,2168021
377585,13,371190
2184629,13,2184398
88329,40,677241
9381,42,72035
1470696,63,1470837
2150597,13,2098276
378474,13,457105
55028,88,882307
1642793,13,2038305
60747,88,87835
16824,40,1832153
1400184,63,1950069
166304,35,8363
1913279,7,416261
94947,40,2112380
1122235,170,6536
235033,6,47417
851125,13,498836
38701,26,1283321
2188436,109,393568
90926,40,909563
2151440,63,2151550
406564,13,131365
799055,13,408919
1915308,7,487936
17169,106,140363
391085,65,15982
748559,7,1944556
398209,16,360833
393350,65,8306
1917089,7,874700
648822,13,647948
6799,40,1335006
1658636,63,833874
2094401,7,2094400
2056085,88,614392
1942131,13,1942045
374271,13,368820
89749,40,359075
1255208,13,1867118
7931,55,6551
3606,41,2116283
1428084,13,361837
1408912,109,314897
5198,6,456784
62052,6,13083
1767329,40,2150036
5099,88,592635
1889710,88,447335
1756151,63,1775601
850807,13,502893
47538,54,7555
114004,65,1489
890948,88,706916
2016287,7,416929
1574411,13,1620820
44809,21,1869434
60026,54,60025
1825094,7,1825093
1658390,63,836443
9832,35,3490
1238997,62,112494
84176,40,688290
372729,13,367952
2004269,62,4791
2139231,13,863517
65437,41,16625
364405,13,281521
591493,88,156165
7627,88,7711
1516656,7,81458
1914931,7,416452
756873,48,1534281
11632,16,458515
1578811,13,1574558
1770321,20,1118770
52461,65,1746
280988,54,273231
1913525,7,1700893
247589,40,1249341
1934542,7,1927679
1361128,63,845818
377638,13,502710
2135163,62,946
164815,63,830851
1839289,62,1280
1910790,7,1911717
42643,13,2078034
395180,54,12694
1830095,63,1830071
1716683,63,1717293
1672525,7,1674815
404024,21,2804
1716669,62,4037
372358,13,504287
87584,35,940879
373895,13,368556
378434,13,503227
390867,65,52548
1755922,63,1775430
1915969,7,1157383
2152816,7,2153420
1997045,7,1996191
1915100,7,258609
839082,63,836098
2142835,13,2142495
49205,7,863622
1279218,62,7108
1923146,62,548
2035552,62,4485
1887821,88,1618943
